id,benchmark,category,question,ground_truth,answer,human_verdict,notes
J011,locomo,temporal,When did Gina start being recognized by fashion editors?,July 2023,"July 9, 2023.",INCORRECT,
J012,locomo,temporal,When did Jon host a dance competition?,"May, 2023","February 4, 2023. Jon was preparing for a dance competition near him next month, which would be March 2023.",INCORRECT,
J013,locomo,temporal,When did Gina interview for a design internship?,"10 May, 2023","January 18, 2023.",INCORRECT,
J014,lme_s,temporal-reasoning,How many charity events did I participate in before the 'Run for the Cure' event?,4,"You participated in the ""Dance for a Cause"" event in May before the ""Run for the Cure"" event.",INCORRECT,
J015,locomo,temporal,When did Joanna's laptop crash?,"The week before 14September, 2022","January 7, 2022.",INCORRECT,
J016,locomo,temporal,When is Melanie's daughter's birthday?,13 August,The memory context does not provide a specific date for Melanie's daughter's birthday.,INCORRECT,
J017,locomo,multi-hop,Does Calvin love music tours?,yes,"Yes, Calvin loves music tours. He expressed excitement about touring and described the energy from the crowd and performing with Frank Ocean as amazing experiences.",CORRECT,
J018,locomo,temporal,When is Evan planning a big family reunion?,Summer 2024,Evan is planning a big family reunion in the summer of 2024.,CORRECT,
J019,locomo,temporal,How long did it take for Joanna to finish writing her book?,four months,"Joanna finished her first full screenplay on January 21, 2022.",INCORRECT,
J020,lme_s,multi-session-reasoning,How many points do I need to earn to redeem a free skincare product at Sephora?,100,You need to earn 100 more points to redeem a free skincare product at Sephora.,CORRECT,
J021,lme_s,abstention,How often do I play table tennis with my friends at the local park?,The information provided is not enough. You mentioned playing tennis but not table tennis.,You play tennis with your friends at the local park every other week on Sundays.,INCORRECT,
J022,lme_s,temporal-reasoning,How many months ago did I book the Airbnb in San Francisco?,Five months ago,Three months ago.,INCORRECT,
J023,lme_s,information-extraction,How long have I been collecting vintage cameras?,three months,"You have been collecting vintage cameras for three months as of May 21, 2023.",CORRECT,
J024,locomo,single-hop,What activities has Maria done with her church friends?,"Hiking, picnic, volunteer work",Maria has gone on a camping trip with her church friends.,INCORRECT,
J025,locomo,single-hop,What kind of programming-related events has John hosted?,"online programming competition, programming seminar",John has hosted a programming seminar in March 2022 and organized a gaming tournament for a children's hospital in October 2022.,INCORRECT,
J026,locomo,temporal,When did Evan have his sudden heart palpitation incident that really shocked him up?,first week of June 2023,June 2023. Evan had a sudden heart palpitation incident that really shook him up.,INCORRECT,
J027,locomo,multi-hop,Would Caroline pursue writing as a career option?,"LIkely no; though she likes reading, she wants to be a counselor","No, Caroline would not pursue writing as a career option. She is focused on counseling and mental health careers to help others, inspired by her own experiences and the support she received.",CORRECT,
J028,locomo,temporal,When did Jon start expanding his studio's social media presence?,"April, 2023","April 3, 2023. Jon started expanding his studio's social media presence and offering workshops and classes to local schools and centers around this time.",CORRECT,
J029,locomo,multi-hop,Which outdoor gear company likely signed up John for an endorsement deal?,Under Armour,"The outdoor gear company that likely signed up John for an endorsement deal is a renowned outdoor gear company, as mentioned in the context.",INCORRECT,
J030,locomo,temporal,When did Melanie buy the figurines?,21 October 2023,"October 21, 2023.",CORRECT,
J031,lme_s,information-extraction,"I was going through our previous conversation about making a classic French omelette, and I wanted to confirm - how many eggs did you say we need for the recipe?",2-3 eggs,You need three eggs for the classic French omelette recipe.,CORRECT,
J032,lme_s,information-extraction,I was thinking about rearranging the furniture in my bedroom this weekend. Any tips?,"The user would prefer responses that take into account their existing plans to replace the bedroom dresser and their interest in mid-century modern style, suggesting furniture layouts that accommodate the new dresser and incorporate elements of this design aesthetic. They might not prefer general furniture arrangement tips or suggestions that do not consider their specific design preferences.","To rearrange your bedroom furniture effectively, consider optimizing the layout for better Wi-Fi signal by moving large furniture away from the path between your router and devices. Additionally, try placing your router or any range extenders at a higher location to improve signal strength.",INCORRECT,
J033,locomo,temporal,When did Audrey make muffins for herself?,The week of April 3rd to 9th,There is no specific date mentioned in the memory context for when Audrey made muffins for herself.,INCORRECT,
J034,lme_s,abstention,"Which task did I complete first, fixing the fence or purchasing three cows from Peter?",The information provided is not enough. You mentioned fixing the fence but did not mention purchasing cows from Peter.,Fixing the fence was completed first.,INCORRECT,
J035,locomo,multi-hop,Which US state do Audrey and Andrew potentially live in?,Minnesota,"California. Audrey and Andrew potentially live in California, as suggested by the mention of trying a California roll when discussing sushi.",INCORRECT,
J036,lme_s,knowledge-update,What is my current record in the recreational volleyball league?,5-2,Your current record in the recreational volleyball league is 5-2.,CORRECT,
J037,lme_s,information-extraction,What type of rice is my favorite?,Japanese short-grain rice,Japanese short-grain rice is your favorite.,CORRECT,
J038,lme_s,multi-session-reasoning,How much money did I raise in total through all the charity events I participated in?,"$5,850",You raised a total of $600 through the charity yoga event you organized in 2023.,INCORRECT,
J039,lme_s,multi-session-reasoning,What is the total number of goals and assists I have in the recreational indoor soccer league?,5,You have scored 3 goals in the recreational indoor soccer league. There is no information provided about the number of assists.,INCORRECT,
J040,locomo,temporal,When did James and his family visit Mark and Josh?,"November 7, 2022",James and his family visited Mark and Josh in 2022.,INCORRECT,
J041,locomo,single-hop,"Who did Evan meet on his trip to Canada, and who did he come back from Canada with?",Evan met the woman he fell in love with and returned with her.,"Evan met an incredible Canadian woman on his trip to Canada, and he came back from Canada with his new significant other.",CORRECT,
J042,lme_s,information-extraction,Can you suggest some activities that I can do in the evening?,"The user would prefer suggestions that involve relaxing activities that can be done in the evening, preferably before 9:30 pm. They would not prefer suggestions that involve using their phone or watching TV, as these activities have been affecting their sleep quality.","You can try meditation or guided meditation sessions in the evening, such as the ""Sleep"" guided meditation by Headspace, to help calm your mind and body before bed. Additionally, you might consider winding down by 9:30 pm to prepare for a good night's sleep.",INCORRECT,
J043,lme_s,multi-session-reasoning,What is the total amount of money I earned from selling my products at the markets?,$495,"The total amount of money you earned from selling your products at the markets is $615. This includes $120 from selling fresh organic herbs on May 15th, $225 from selling homemade jam on May 29th, and $150 from selling 20 potted herb plants at the Summer Solstice Market.",INCORRECT,
J044,lme_s,multi-session-reasoning,How many babies were born to friends and family members in the last few months?,5,"Three babies were born to friends and family members in the last few months: a baby boy named Jasper, and twin girls named Ava and Lily.",INCORRECT,
J045,locomo,multi-hop,What might John's financial status be?,Middle-class or wealthy,"John's financial status might be challenging as he lost his job at the mechanical engineering company and is actively involved in community work, which may not provide a stable income. However, he remains positive and finds purpose in helping the community.",INCORRECT,
J046,lme_s,multi-session-reasoning,At which university did I present a poster on my thesis research?,Harvard University,Boston Common,INCORRECT,
J047,lme_s,knowledge-update,What was my previous goal for my Apex Legends level before I updated my goal?,level 100,Your previous goal for your Apex Legends level was to reach level 100 before the end of the year.,CORRECT,
J048,lme_s,multi-session-reasoning,How many different art-related events did I attend in the past month?,4,"You attended one art-related event in the past month, which was the ""Women in Art"" exhibition on February 10th.",INCORRECT,
J049,locomo,temporal,When did Calvin record a podcast with his friends?,"21 August, 2023","August 21, 2023.",CORRECT,
J050,locomo,temporal,Which year did Audrey adopt the first three of her dogs?,2020,Audrey adopted the first three of her dogs in 2020.,CORRECT,
J051,locomo,temporal,When did Joanna make a desert with almond milk?,"The Friday before 14September, 2022","September 14, 2022.",INCORRECT,
J052,lme_s,abstention,How much will I save by taking the bus from the airport to my hotel instead of a taxi?,The information provided is not enough. You did not mention how much will the bus take.,You will save approximately $150-$240 by taking the Airport Limousine Bus (costing around $29 USD) instead of a taxi (costing around $180-$270 USD) from the airport to your hotel.,INCORRECT,
J053,lme_s,temporal-reasoning,"How many months have passed since I participated in two charity events in a row, on consecutive days?",2,Two months have passed since you participated in two charity events in a row on consecutive days.,CORRECT,
J054,lme_s,multi-session-reasoning,How old was I when Alex was born?,11,You were 39 years old when Alex was born.,INCORRECT,
J055,lme_s,information-extraction,"I wanted to check back on our previous conversation about Netflix. I mentioned that I wanted to be able to access all seasons of old shows? Do you remember what show I used as an example, the one that only had the last season available?",Doc Martin,"The show you used as an example was ""Doc Martin,"" which only had the last season available.",CORRECT,
J056,locomo,single-hop,What kind of games has James tried to develop?,"football simulator, virtual world inspired by Witcher 3",James has tried to develop a strategy game like Civilization and has also created and released his own game for the gaming community.,INCORRECT,
J057,lme_s,multi-session-reasoning,How many graduation ceremonies have I attended in the past three months?,3,You have attended two graduation ceremonies in the past three months: your little cousin Emma's preschool graduation about two months ago and your sister's degree graduation ceremony a couple of weeks ago.,INCORRECT,
J058,locomo,temporal,"How many pets will Andrew have, as of December 2023?",three,Andrew will have five pets as of December 2023.,INCORRECT,
J059,lme_s,information-extraction,Can you remind me what was the average improvement in framerate when using the Hardware-Aware Modular Training (HAMT) agent in the 'To Adapt or Not to Adapt? Real-Time Adaptation for Semantic Segmentation' submission?,The average improvement in framerate was approximately 20% when using the Hardware-Aware Modular Training (HAMT) agent.,The average improvement in framerate when using the Hardware-Aware Modular Training (HAMT) agent in the 'To Adapt or Not to Adapt? Real-Time Adaptation for Semantic Segmentation' submission is not specified in the provided context.,INCORRECT,
J060,locomo,multi-hop,What kind of job is Joanna beginning to preform the duties of because of her movie scripts?,filmmaker.,Joanna is beginning to perform the duties of a screenwriter because of her movie scripts.,INCORRECT,
J061,lme_s,temporal-reasoning,"Which trip did the narrator take first, the solo trip to Europe or the family road trip across the American Southwest?",The family road trip across the American Southwest,"The memory context does not provide specific information about which trip the narrator took first, the solo trip to Europe or the family road trip across the American Southwest.",INCORRECT,
J062,locomo,single-hop,Which city have both Jean and John visited?,Rome,Rome,CORRECT,
J063,lme_s,temporal-reasoning,Which streaming service did I start using most recently?,Disney+,"Disney+ is the streaming service you started using most recently, as you began a free trial last month.",CORRECT,
J064,locomo,multi-hop,Which major holiday season conincides with Evan's wedding?,Christmas,"Evan's wedding coincides with the Christmas holiday season, as he mentioned getting married last week during a conversation on December 26, 2023.",CORRECT,
J065,locomo,multi-hop,Would Melanie be considered a member of the LGBTQ community?,"Likely no, she does not refer to herself as part of it","No, there is no indication in the memory context that Melanie is a member of the LGBTQ community.",CORRECT,
J066,locomo,single-hop,What desserts has Maria made?,"Banana split sundae, Peach cobbler",Maria has made peach cobbler and a banana split sundae.,CORRECT,
J067,locomo,temporal,When did Sam and his friend decide to try kayaking?,"October 14, 2023","October 14, 2023.",CORRECT,
J068,lme_s,temporal-reasoning,How many days had passed between the day I bought a gift for my brother's graduation ceremony and the day I bought a birthday gift for my best friend?,7 days. 8 days (including the last day) is also acceptable.,"Twenty-four days had passed. The gift for your brother's graduation was bought on March 8, 2023, and the birthday gift for your best friend was bought on March 15, 2023.",INCORRECT,
J069,lme_s,knowledge-update,How many videos of Corey Schafer's Python programming series have I completed so far?,30,You have completed 30 videos of Corey Schafer's Python programming series.,CORRECT,
J070,lme_s,multi-session-reasoning,"How many tanks do I currently have, including the one I set up for my friend's kid?",3,"You currently have two tanks, including the one you set up for your friend's kid.",INCORRECT,
J071,lme_s,temporal-reasoning,What was the date on which I attended the first BBQ event in June?,June 3rd,"June 3, 2023.",CORRECT,
J072,locomo,temporal,Which hobby did Sam take up in May 2023?,painting,Painting,CORRECT,
J073,lme_s,temporal-reasoning,How many months passed between the completion of my undergraduate degree and the submission of my master's thesis?,6 months,"The completion of your undergraduate degree was on 20 October 2010, and you submitted your master's thesis in 2023. Therefore, approximately 150 months passed between the two events.",INCORRECT,
J074,lme_s,temporal-reasoning,Which pair of shoes did I clean last month?,white Adidas sneakers,White Adidas sneakers.,CORRECT,
J075,lme_s,multi-session-reasoning,What percentage of the countryside property's price is the cost of the renovations I plan to do on my current house?,10%,"The cost of the renovations, $20,000, is 10% of the countryside property's price, which is $200,000.",CORRECT,
J076,lme_s,abstention,How many engineers do I lead when I just started my new role as Software Engineer Manager?,The information provided is not enough. You mentioned starting the role as Senior Software Engineer but not Software Engineer Manager.,You lead a team of five engineers when you started your new role as Senior Software Engineer.,INCORRECT,
J077,lme_s,temporal-reasoning,"Who did I meet first, the woman selling jam at the farmer's market or the tourist from Australia?",the woman selling jam at the farmer's market,The tourist from Australia.,INCORRECT,
J078,locomo,single-hop,What kind of classes has James joined?,"game design course, cooking classes",James joined a programming group online on 11 March 2022.,INCORRECT,
J079,locomo,single-hop,How many times has Nate taken his turtles on a walk?,Twice.,"Nate has taken his turtles on a walk at least once, as mentioned on October 25, 2022.",INCORRECT,
J080,locomo,single-hop,What are the names of John's children?,"Kyle, Sara",John's children are named Kyle and Sara.,CORRECT,
J081,locomo,temporal,When did Jolene buy a new aquarium for Seraphim?,"24 June, 2023","June 24, 2023. Jolene mentioned buying the new aquarium the day before she shared photos of Seraphim in it.",CORRECT,
J082,lme_s,temporal-reasoning,What was the the life event of one of my relatives that I participated in a week ago?,my cousin's wedding,The life event of one of your relatives that you participated in a week ago was your niece's kindergarten graduation ceremony.,INCORRECT,
J083,lme_s,temporal-reasoning,"Which event happened first, my participation in the #PlankChallenge or my post about vegan chili recipe?",You posted a recipe for vegan chili on Instagram using the hashtag #FoodieAdventures first.,"Your post about the vegan chili recipe happened first on March 9, 2023, followed by your participation in the #PlankChallenge on March 15, 2023.",CORRECT,
J084,lme_s,temporal-reasoning,"Which device did I set up first, the smart thermostat or the new router?",new router,"The new router was set up first on January 15th, followed by the smart thermostat on February 10th.",CORRECT,
J085,lme_s,information-extraction,Can you recommend some interesting cultural events happening around me this weekend?,"The user would prefer responses that suggest cultural events where they can practice their language skills, particularly Spanish and French. They would also appreciate if the event has a focus on language learning resources. They would not prefer events that do not provide opportunities for language practice or cultural exchange.","Cultural events or festivals celebrating language diversity and cultural exchange are happening this weekend, similar to the cultural festival you volunteered at last month.",INCORRECT,
J086,lme_s,information-extraction,Who did I have a conversation with about destiny?,Sarah,You had a conversation with your old friend from high school about destiny.,INCORRECT,
J087,lme_s,knowledge-update,How many bikes do I currently own?,4,"You currently own four bikes: a road bike, a mountain bike, a commuter bike, and a new hybrid bike.",CORRECT,
J088,lme_s,multi-session-reasoning,At which university did I present a poster on my thesis research?,Harvard University,Harvard University.,CORRECT,
J089,locomo,temporal,When did Evan start lifting weights?,October 2022,Evan started lifting weights in 2023.,INCORRECT,
J090,locomo,single-hop,What activities has Dave participated in with his friends?,"weekly visits to local parks, countryside roadtrip, celebration of the opening of his car maintenance shop, card-playing nights","Dave has participated in a card night with his friends, which was a lot of fun and involved laughter and a great time.",INCORRECT,
J091,locomo,temporal,When did Nate take time off to chill with his pets?,"The weekend of 22August, 2022.","February 7, 2022.",INCORRECT,
J092,lme_s,information-extraction,I was thinking of trying a new coffee creamer recipe. Any recommendations?,"The user would prefer responses that suggest variations on their existing almond milk, vanilla extract, and honey creamer recipe or new ideas that align with their goals of reducing sugar intake and saving money. They might not prefer responses that recommend commercial creamer products or recipes that are high in sugar or expensive.","Consider making a healthier coffee creamer by using unsweetened, organic almond milk, adding spices like cinnamon or nutmeg for flavor, and choosing alternative sweeteners like stevia or monk fruit. You can also experiment with flavor combinations such as vanilla with almond or coconut extracts.",CORRECT,
J093,locomo,single-hop,What are some problems that Andrew faces before he adopted Toby?,Finding the right dog and pet-friendly apartments close to open spaces,"Andrew faced the challenge of needing to offset a lot of energy with his German Shepherd, Toby, as mentioned in 2023.",INCORRECT,
J094,locomo,temporal,Which torunament did Nate win in the beginning of November 2022?,Valorant,"Nate won a big Valorant tournament on November 5, 2022.",CORRECT,
J095,locomo,temporal,When is Melanie planning on going camping?,June 2023,"August 2, 2023. Melanie is planning on going camping next month from the context of June 7, 2023.",INCORRECT,
J096,locomo,single-hop,Which events has Jon participated in to promote his business venture?,"fair, networking events, dance competition","Jon participated in a fair to promote his dance studio on April 24, 2023.",INCORRECT,
J097,locomo,temporal,Did Andrew have a pet dog during March 2023?,No,"Yes, Andrew had a pet dog during March 2023.",INCORRECT,
J098,lme_s,temporal-reasoning,How long had I been watching stand-up comedy specials regularly when I attended the open mic night at the local comedy club?,2 months,"Last month, you had been watching stand-up comedy specials regularly for about 3 months when you attended the open mic night at the local comedy club.",INCORRECT,
J099,locomo,single-hop,What sports does John like besides basketball?,surfing,John likes surfing besides basketball.,CORRECT,
J100,lme_s,information-extraction,What book am I currently reading?,The Seven Husbands of Evelyn Hugo,"""The Seven Husbands of Evelyn Hugo"" is the book you are currently reading.",CORRECT,
